Room ID,Capacity,Type,Facilities
C004,240,240-Seater Hall,"Projector, Whiteboard"
C002,120,120-Seater Halll,"Projector, Whiteboard"
C003,120,120-Seater Hall,"Projector, Whiteboard"
C202,90,Classroom,"Projector, Whiteboard"
C205,90,Classroom,"Projector, Whiteboard"
C101,90,Classroom,"Projector, Whiteboard"
C203,90,Classroom,"Projector, Whiteboard"
C303,90,Classroom,"Projector, Whiteboard"
L106,45,Lab,"Computers, Whiteboard"
L107,45,Lab,"Computers, Whiteboard"
L207,45,Lab,"Computers, Whiteboard"
L208,45,Lab,"Computers, Whiteboard"
